Original,ROT13,Caesar+1,Caesar+3,Caesar-2,Morse,LeetSpeak,Vignere,Playfair (APOLLO),Keyword (IRONJAZ),Atbash,Bacon,DaVinci (Word),DaVinci (Sentence)
THEY DID NOT STOP TO THINK IF THEY SHOULD ,GURL QVQ ABG FGBC GB GUVAX VS GURL FUBHYQ,UIFZ EJE OPU TUPQ UP UIJOL JG UIFZ TIPVME,WKHB GLG QRW VWRS WR WKLQN LI WKHB VKRXOG,RFCW BGB LMR QRMN RM RFGLI GD RFCW QFMSJB,-.-.-------..-/-.---/..-..-.---.-..../.--.-../.-..---....,7#3'/ |)!|) |\|07 570|* 70 7#!|\||< !|= 7#3'/ 5#0|_|1|), GJFW EVF LMU UUMN GQ RFJAM GD GJFW TUQVJB, qmfxirgilstuloslqmkhmkmykcxtkatbgw,SBJX/NCN/HKS/QSKL/SK/SBCHE/CA/SBJX/QBKTFN,GSVB/WRW/MLG/HGLK/GL/GSRMP/RU/GSVB/HSLFOW,BAABBAABBBAABAABBAAA/AAABBABAAAAAABB/ABBABABBBABAABB/BAABABAABBABBBAABBBB/BAABBABBBA/BAABBAABBBABAAAABBABABABA/ABAAAAABAB/BAABBAABBBAABAABBAAA/BAABAAABBBABBBABABAAABABBAAABB,YEHT DID TON POTS OT KNIHT FI YEHT DLUOHS,DLUOHS YEHT FI KNIHT OT POTS TON DID YEHT
I WILL BE BACK ,V JVYY OR ONPX,J XJMM CF CBDL,L ZLOO EH EDFN,G UGJJ ZC ZYAI,...---.-..-.--.-.-/--..-...-./...../.--..---.--..-...,! \/\/!11 83 84(|<, V XGJM DF ZBPM, rpmpbagochnx,C/VCFF/RJ/RIOE,R/DROO/YV/YZXP,ABAAA/BABBAABAAAABABBABABB/AAAABAABAA/AAAABAAAAAAAABAABABA,I LLIW EB KCAB,KCAB EB LLIW I
I AM GLAD WE MET ,V NZ TYNQ JR ZRG,J BN HMBE XF NFU,L DP JODG ZH PHW,G YK EJYB UC KCR,.-.../-.-----..-/.--.........,! 4/\/\ 614|) \/\/3 /\/\37, V BK HYCE UF OFR, hpnfbpipfkfs,C/IG/ZFIN/VJ/GJS,R/ZN/TOZW/DV/NVG,ABAAA/AAAAAABBAA/AABBAABABBAAAAAAAABB/BABBAAABAA/ABBAAAABAABAABB,I MA DALG EW TEM,TEM EW DALG MA I
THIS MISSION IS TOO IMPORTANT ,GUVF ZVFFVBA VF GBB VZCBEGNAG,UIJT NJTTJPO JT UPP JNQPSUBOU,WKLV PLVVLRQ LV WRR LPSRUWDQW,RFGQ KGQQGML GQ RMM GKNMPRYLR,../.---/.-/.-...-.-../-..----.--,7#!5 /\/\!55!0|\| !5 700 !/\/\|*0274|\|7, GJJQ NVUTGMO KT RPB JKNPEVBLR, qmkrnkxorkbkkrslpkilpsqlmu,SBCQ/GCQQCKH/CQ/SKK/CGLKPSIHS,GSRH/NRHHRLM/RH/GLL/RNKLIGZMG,BAABBAABBBABAAABAABA/ABBAAABAAABAABABAABAABAAAABBBAABBAB/ABAAABAABA/BAABBABBBAABBBA/ABAAAABBAAABBBBABBBABAAABBAABBAAAAAABBABBAABB,SIHT NOISSIM SI OOT TNATROPMI,TNATROPMI OOT SI NOISSIM SIHT
CAN DO THIS ALL DAY ,PNA QB GUVF NYY QNL, DBO EP UIJT BMM EBZ, FDQ GR WKLV DOO GDB,AYL BM RFGQ YJJ BYW,-...../.-----.-..-..-../...../-.----/..-./-.-----..-.-./-..-------.-...,(4|\| |)0 7#!5 411 |)4'/, PCO BP VIGQ NNM BBL, hciglsikqooypflv,OIH/NK/SBCQ/IFF/NIX,XZM/WL/GSRH/ZOO/WZB,AAABAAAAAAABBAB/AAABBABBBA/BAABBAABBBABAAABAABA/AAAAAABABBABABB/AAABBAAAAABBAAA,NAC OD SIHT LLA YAD,YAD LLA SIHT OD NAC
THE PASSWORD IS SWORDFISH ,GUR CNFFJBEQ VF FJBEQSVFU,UIF QBTTXPSE JT TXPSEGJTI,WKH SDVVZRUG LV VZRUGILVK,RFC NYQQUMPB GQ QUMPBDGQF,.--./.--...-...-../-.-..-.-...-../..-/.-/-...-..-.--,7#3 |*455\/\/02|) !5 5\/\/02|)|=!5#, GJF NBFUXMPE KT QXBTEDGTU, qmdooqrxpsirxorxpsegkrnv,SBJ/LIQQVKPN/CQ/QVKPNACQB,GSV/KZHHDLIW/RH/HDLIWURHS,BAABBAABBBAABAA/ABBBBAAAAABAABABAABABABBAABBBABAAABAAABB/ABAAABAABA/BAABABABBAABBBABAAABAAABBAABABABAAABAABAAABBB,EHT DROWSSAP SI HSIFDROWS,HSIFDROWS SI DROWSSAP EHT
THE SECRET TO THE UNIVERSE ,GUR FRPERG GB GUR HAVIREFR,UIF TFDSFU UP UIF VOJWFSTF,WKH VHFUHW WR WKH XQLYHUVH,RFC QCAPCR RM RFC SLGTCPQC,-..---/-.----/-.-..-.-...-../--./..........-..-...-.--,7#3 53(237 70 7#3 |_||\|!\/3253, GJF QFPTFR UB UFC HPJTCSFG, qmkxfdsdsyslqmgshkxcstgx,SBJ/QJOPJS/SK/SBJ/THCUJPQJ,GSV/HVXIVG/GL/GSV/FMREVIHV,BAABBAABBBAABAA/BAABAAABAAAAABABAAABAABAABAABB/BAABBABBBA/BAABBAABBBAABAA/BABAAABBABABAAABABABAABAABAAABBAABAAABAA,EHT TERCES OT EHT ESREVINU,ESREVINU EHT OT TERCES EHT
A DAY MAY COME WHEN THE COURAGE OF MEN FAILS ,N QNL ZNL PBZR JURA GUR PBHENTR BS ZRA SNVYF,B EBZ NBZ DPNF XIFO UIF DPVSBHF PG NFO GBJMT,D GDB PDB FRPH ZKHQ WKH FRXUDJH RI PHQ IDLOV,Y BYW KYW AMKC UFCL RFC AMSPYEC MD KCL DYGJQ,../.---/..-./.-/--..-...-....../-.-..-..../---..-./.------..----.,4 |)4'/ /\/\4'/ (0/\/\3 \/\/#3|\| 7#3 (0|_|2463 0|= /\/\3|\| |=4!15, N EYW ZCZ APZG UFFA UFC PQVPYHR PD NRP DYJYU, pclvhlvflkdxkcmukceaqsbckemtgkclmpux,I/NIX/GIX/OKGJ/VBJH/SBJ/OKTPIZJ/KA/GJH/AICFQ,Z/WZB/NZB/XLNV/DSVM/GSV/XLFIZTV/LU/NVM/UZROH,AAAAA/AAABBAAAAABBAAA/ABBAAAAAAABBAAA/AAABAABBBAABBAAAABAA/BABBAAABBBAABAAABBAB/BAABBAABBBAABAA/AAABAABBBABABAABAAABAAAAAAABBAAABAA/ABBBAAABAB/ABBAAAABAAABBAB/AABABAAAAAABAAAABABBBAABA,A YAD YAM EMOC NEHW EHT EGARUOC FO NEM SLIAF,SLIAF NEM FO EGARUOC EHT NEHW EMOC YAM YAD A
I WANT MORE LIFE ,V JNAG ZBER YVSR,J XBOU NPSF MJGF,L ZDQW PRUH OLIH,G UYLR KMPC JGDC,..-/...../--..-.---..--.-......-----./-...--.--/.---..-..-.,! \/\/4|\|7 /\/\023 1!|=3, V XYLU OPPC YKGC, rpbhytpsfomdgx,C/VIHS/GKPJ/FCAJ,R/DZMG/NLIV/ORUV,ABAAA/BABBAAAAAAABBABBAABB/ABBAAABBBABAAABAABAA/ABABBABAAAAABABAABAA,I TNAW EROM EFIL,EFIL EROM TNAW I
COMMIT NO ERRORS AND LOSE ,PBZZVG AB REEBEF NAQ YBFR,DPNNJU OP FSSPST BOE MPTF,FRPPLW QR HUURUV DQG ORVH,AMKKGR LM CPPMPQ YLB JMQC,.-...-/..-.../.--..-...--.--/-.-............,(0/\/\/\/\!7 |\|0 322025 4|\||) 1053, PQNKGU PP CSEQSQ BAF JMTR, eakynkumekswspstbhfpexgx,OKGGCS/HK/JPPKPQ/IHN/FKQJ,XLNNRG/ML/VIILIH/ZMW/OLHV,AAABAABBBAABBAAABBAAABAAABAABB/ABBABABBBA/AABAABAAABBAAABABBBABAAABBAABA/AAAAAABBABAAABB/ABABBABBBABAABAAABAA,TIMMOC ON SRORRE DNA ESOL,ESOL DNA SRORRE ON TIMMOC
SOLYENT GREEN IS PEOPLE ,FBYLRAG TERRA VF CRBCYR,TPMZFOU HSFFO JT QFPQMF,VROBHQW JUHHQ LV SHRSOH,QMJWCLR EPCCL GQ NCMNJC,--.--...-.-.-../---...-..-..-...-...,501'/3|\|7 6233|\| !5 |*30|*13, FQMWCOG HPCFA JQ QRQQJC, xeflgkufsdgkkrodloof,QKFXJHS/ZPJJH/CQ/LJKLFJ,HLOBVMG/TIVVM/RH/KVLKOV,BAABAABBBAABABBBBAAAAABAAABBABBAABB/AABBABAAABAABAAAABAAABBAB/ABAAABAABA/ABBBBAABAAABBBAABBBBABABBAABAA,TNEYLOS NEERG SI ELPOEP,ELPOEP SI NEERG TNEYLOS
AS YOU WISH ,NF LBH JVFU,BT ZPV XJTI,DV BRX ZLVK,YQ WMS UGQF,-.-----..-/-.-..--.-.----/..-...--.....-/..-./-...../.--.-.-./.-.--------,45 '/0|_| \/\/!5#, NU WMV YJQF, oqxlrzkrnv,IQ/XKT/VCQB,ZH/BLF/DRHS,AAAAABAABA/BBAAAABBBABABAA/BABBAABAAABAABAAABBB,SA UOY HSIW,HSIW UOY SA
I AM A REAL BOY ,V NZ N ERNY OBL,J BN B SFBM CPZ,L DP D UHDO ERB,G YK Y PCYJ ZMW,-.-----..-/........-.-...-../-.----/.--..-......,! 4/\/\ 4 2341 80'/, V BK B TFYJ OQZ, hphlsdpbalzv,C/IG/I/PJIF/RKX,R/ZN/Z/IVZO/YLB,ABAAA/AAAAAABBAA/AAAAA/BAAABAABAAAAAAAABABB/AAAABABBBABBAAA,I MA A LAER YOB,YOB LAER A MA I
THE WORLD IS NOT IN YOUR BOOKS ,GUR JBEYQ VF ABG VA LBHE OBBXF,UIF XPSME JT OPU JO ZPVS CPPLT,WKH ZRUOG LV QRW LQ BRXU ERRNV,RFC UMPJB GQ LMR GL WMSP ZMMIQ,../.---/-.-----..-.-./..-..--......-.,7#3 \/\/021|) !5 |\|07 !|\| '/0|_|2 800|<5, GJF UPENE GT PPR JA ZMSS DPMIT, qmdxpspfkrkbrmmzbsupeoesux,SBJ/VKPFN/CQ/HKS/CH/XKTP/RKKEQ,GSV/DLIOW/RH/MLG/RM/BLFI/YLLPH,BAABBAABBBAABAA/BABBAABBBABAAABABABBAAABB/ABAAABAABA/ABBABABBBABAABB/ABAAAABBAB/BBAAAABBBABABAABAAAB/AAAABABBBAABBBAABABABAABA,EHT DLROW SI TON NI RUOY SKOOB,SKOOB RUOY NI TON SI DLROW EHT
WE WILL CALL IT A DRAW ,JR JVYY PNYY VG N QENJ,XF XJMM DBMM JU B ESBX,ZH ZLOO FDOO LW D GUDZ,UC UGJJ AYJJ GR Y BPYU,..-/...../----..-..-.--/.-/..-..-........../.-----..--.-..,\/\/3 \/\/!11 (411 !7 4 |)24\/\/, JG UGMY DYJM KU Y QTBU, xdproyafpbpmqliwpv,VJ/VCFF/OIFF/CS/I/NPIV,DV/DROO/XZOO/RG/Z/WIZD,BABBAAABAA/BABBAABAAAABABBABABB/AAABAAAAAAABABBABABB/ABAAABAABB/AAAAA/AAABBBAAABAAAAABABBA,EW LLIW LLAC TI A WARD,WARD A TI LLAC LLIW EW
DO NOT CALL ME SHIRLEY ,QB ABG PNYY ZR FUVEYRL,EP OPU DBMM NF TIJSMFZ,GR QRW FDOO PH VKLUOHB,BM LMR AYJJ KC QFGPJCW,-.-.-...-.--..-/-...-.-..--...-/-...-.-----,|)0 |\|07 (411 /\/\3 5#!213'/, QQ LMU EBJJ ZG QFJENFW, epkbqfpbftkxiktpfx,NK/HKS/OIFF/GJ/QBCPFJX,WL/MLG/XZOO/NV/HSRIOVB,AAABBABBBA/ABBABABBBABAABB/AAABAAAAAAABABBABABB/ABBAAAABAA/BAABAAABBBABAAABAAABABABBAABAABBAAA,OD TON LLAC EM YELRIHS,YELRIHS EM LLAC TON OD
I AM IN A GLASS CASE OF EMOTION ,V NZ VA N TYNFF PNFR BS RZBGVBA,J BN JO B HMBTT DBTF PG FNPUJPO,L DP LQ D JODVV FDVH RI HPRWLRQ,G YK GL Y EJYQQ AYQC MD CKMRGML,.--.....----../....-----.,! 4/\/\ !|\| 4 61455 (453 0|= 3/\/\07!0|\|, V BK JA B EMNUT ABFG MD ROPRGPA, hpnkhbfboqqeoqkegfklrmbk,C/IG/CH/I/ZFIQQ/OIQJ/KA/JGKSCKH,R/ZN/RM/Z/TOZHH/XZHV/LU/VNLGRLM,ABAAA/AAAAAABBAA/ABAAAABBAB/AAAAA/AABBAABABBAAAAABAABABAABA/AAABAAAAAABAABAAABAA/ABBBAAABAB/AABAAABBAAABBBABAABBABAAAABBBAABBAB,I MA NI A SSALG ESAC FO NOITOME,NOITOME FO ESAC SSALG A NI MA I
IT IS GROUNDHOG DAY AGAIN ,VG VF TEBHAQUBT QNL NTNVA,JU JT HSPVOEIPH EBZ BHBJO,LW LV JURXQGKRJ GDB DJDLQ,GR GQ EPMSLBFME BYW YEYGL,-.--.-./-.-----..-.-./...-..-.-.-..-.--./.--..-.--.../---..-...-./--.,!7 !5 620|_||\||)#06 |)4'/ 464!|\|, VV GQ TTPSLEUQH BBL BEYJA, mrkrdubsigkacelvbcphub,CS/CQ/ZPKTHNBKZ/NIX/IZICH,RG/RH/TILFMWSLT/WZB/ZTZRM,ABAAABAABB/ABAAABAABA/AABBABAAABABBBABABAAABBABAAABBAABBBABBBAAABBA/AAABBAAAAABBAAA/AAAAAAABBAAAAAAABAAAABBAB,TI SI GOHDNUORG YAD NIAGA,NIAGA YAD GOHDNUORG SI TI
LET US PLAY CHESS ,YRG HF CYNL PURFF,MFU VT QMBZ DIFTT,OHW XV SODB FKHVV,JCR SQ NJYW AFCQQ,../.---/.-..-..-..-..-../../-.-..--.-.----/-..---/-.....--,137 |_|5 |*14'/ (#355, YGU ST RMYW PJFQQ, ofuqrobpvfkcxoux,FJS/TQ/LFIX/OBJQQ,OVG/FH/KOZB/XSVHH,ABABBAABAABAABB/BABAABAABA/ABBBBABABBAAAAABBAAA/AAABAAABBBAABAABAABABAABA,TEL SU YALP SSEHC,SSEHC YALP SU TEL
MANUAL OVERRIDE ,ZNAHNY BIREEVQR,NBOVBM PWFSSJEF,PDQXDO RYHUULGH,KYLSYJ MTCPPGBC,--..-/.-.--.--.--/..-..-.-----/......-.,/\/\4|\||_|41 0\/322!|)3, ZCOSYM QWCPSVFF, hluzpbaxdswref,GIHTIF/KUJPPCNJ,NZMFZO/LEVIIRWV,ABBAAAAAAAABBABBABAAAAAAAABABB/ABBBABABABAABAABAAABBAAABABAAAAAABBAABAA,LAUNAM EDIRREVO,EDIRREVO LAUNAM
YOU CANNOT FIGHT IN THE WAR ROOM ,LBH PNAABG SVTUG VA GUR JNE EBBZ,ZPV DBOOPU GJHIU JO UIF XBS SPPN,BRX FDQQRW ILJKW LQ WKH ZDU URRP,WMS AYLLMR DGEFR GL RFC UYP PMMK,....--...--.-/..-..-....-.-../.--.-../.-.-..-.,'/0|_| (4|\||\|07 |=!6#7 !|\| 7#3 \/\/42 200/\/\, LQV ABAPPR GVIIR JA UFC JCS PPBO, xlqgbhkbymndmqkhqmdxpqsplk,XKT/OIHHKS/ACZBS/CH/SBJ/VIP/PKKG,BLF/XZMMLG/URTSG/RM/GSV/DZI/ILLN,BBAAAABBBABABAA/AAABAAAAAAABBABABBABABBBABAABB/AABABABAAAAABBAAABBBBAABB/ABAAAABBAB/BAABBAABBBAABAA/BABBAAAAAABAAAB/BAAABABBBAABBBAABBAA,UOY TONNAC THGIF NI EHT RAW MOOR,MOOR RAW EHT NI THGIF TONNAC UOY
YOU SHALL NOT PASS ,LBH FUNYY ABG CNFF,ZPV TIBMM OPU QBTT,BRX VKDOO QRW SDVV,WMS QFYJJ LMR NYQQ,-....--..../----/-...../--.--.-.......-.....,'/0|_| 5#411 |\|07 |*455, LQV QINNM LPG QYQT, xlqtqcoybmlsopxoux,XKT/QBIFF/HKS/LIQQ,BLF/HSZOO/MLG/KZHH,BBAAAABBBABABAA/BAABAAABBBAAAAAABABBABABB/ABBABABBBABAABB/ABBBBAAAAABAABABAABA,UOY LLAHS TON SSAP,SSAP TON LLAHS UOY
I AM YOUR FATHER ,V NZ LBHE SNGURE,J BN ZPVS GBUIFS,L DP BRXU IDWKHU,G YK WMSP DYRFCP,.--......-../...../---.--/.....-..-,! 4/\/\ '/0|_|2 |=47#32, V BK ZBWS DBGJFP, hptlbstdlqkcuw,C/IG/XKTP/AISBJP,R/ZN/BLFI/UZGSVI,ABAAA/AAAAAABBAA/BBAAAABBBABABAABAAAB/AABABAAAAABAABBAABBBAABAABAAAB,I MA RUOY REHTAF,REHTAF RUOY MA I
IT IS ONLY A FLESH WOUND ,VG VF BAYL N SYRFU JBHAQ,JU JT POMZ B GMFTI XPVOE,LW LV RQOB D IOHVK ZRXQG,GR GQ MLJW Y DJCQF UMSLB,.--./.....-...-./----/--.---/-.....--...-.,!7 !5 0|\|1'/ 4 |=135# \/\/0|_||\||), VV GQ BPMW B HMCQI YPSLE, mrkrbkfllcofqkxpzugw,CS/CQ/KHFX/I/AFJQB/VKTHN,RG/RH/LMOB/Z/UOVHS/DLFMW,ABAAABAABB/ABAAABAABA/ABBBAABBABABABBBBAAA/AAAAA/AABABABABBAABAABAABAAABBB/BABBAABBBABABAAABBABAAABB,TI SI YLNO A HSELF DNUOW,DNUOW HSELF A YLNO SI TI
KLAATU BARADA NIKTO ,XYNNGH ONENQN AVXGB,LMBBUV CBSBEB OJLUP,NODDWX EDUDGD QLNWR,IJYYRS ZYPYBY LGIRM,../-.--.---.--/-.-..--.--./..-...-,|<1447|_| 8424|)4 |\|!|<70, XNBYRV DBPYEN OGIUB, moovlqzgpqpcbhkmsl,EFIIST/RIPINI/HCESK,POZZGF/YZIZWZ/MRPGL,ABABAABABBAAAAAAAAAABAABBBABAA/AAAABAAAAABAAABAAAAAAAABBAAAAA/ABBABABAAAABABABAABBABBBA,UTAALK ADARAB OTKIN,OTKIN ADARAB UTAALK
PHONE HOME ,CUBAR UBZR,QIPOF IPNF,SKRQH KRPH,NFMLC FMKC,.--..-..-.-.-----./----/..-.-.-....,|*#0|\|3 #0/\/\3, CJPLC UQNC, aibkcklkgx,LBKHJ/BKGJ,KSLMV/SLNV,ABBBBAABBBABBBAABBABAABAA/AABBBABBBAABBAAAABAA,ENOHP EMOH,EMOH ENOHP
TAKE YOUR STINKING PAWS OFF ME ,GNXR LBHE FGVAXVAT CNJF BSS ZR,UBLF ZPVS TUJOLJOH QBXT PGG NF,WDNH BRXU VWLQNLQJ SDZV RII PH,RYIC WMSP QRGLIGLE NYUQ MDD KC,.-......-../..-...-.-...../.-/.--.--.--,74|<3 '/0|_|2 57!|\||<!|\|6 |*4\/\/5 0|=|= /\/\3, GCLC ZBWS QUVPLGLH RBUQ BHG KF, qlskxlqstukhmkunopxrlemtgx,SIEJ/XKTP/QSCHECHZ/LIVQ/KAA/GJ,GZPV/BLFI/HGRMPRMT/KZDH/LUU/NV,BAABBAAAAAABABAAABAA/BBAAAABBBABABAABAAAB/BAABABAABBABAAAABBABABABAABAAAABBABAABBA/ABBBBAAAAABABBABAABA/ABBBAAABABAABAB/ABBAAAABAA,EKAT RUOY GNIKNITS SWAP FFO EM,EM FFO SWAP GNIKNITS RUOY EKAT
